,Capacity dV CCCT,Charge time dV CCCT,Coefficient of skewness CCCV,Discharge_Q,Energy dV CCCT,Entropy dV CCCT,Entropy dV CCCT Shannon,Frechet Distance CC curve,Group,Hausdorff Distance CC curve,Kurtosis coefficient CCCV,Lagged Cumulated Discharge Capacity,Lagged Cumulated Discharge Energy,Lagged Pseudo Resistace,Lagged cycle time,Mean DV CCCV,Recovery Voltage,SOH_discharge_capacity,Slope CCCV-CCCT
0,578.290451636383,0.004953704075887799,0.009693158009317929,739.110921062178,578.290451636383,0.125544282564064,8.66533591718513,0.8469211482088577,8001.0,6.418936137401615,0.12638259365114993,0.0,0.0,0.0,0.0,0.4826144056946782,2.6998193,1.0,18.22034950160049
1,569.006363763584,0.004907402093522251,0.010714812569988354,730.1929494056869,569.006363763584,0.12811570410995288,8.66533591718513,0.8469056461993312,8001.0,6.413264859354576,0.12825209977749286,739.110921062178,2315.6975658147426,0.021912250000000192,0.08234950806945562,0.4803025788112373,2.6998594,0.9879341903869109,18.35105522222898
2,564.407906012956,0.004884252091869712,0.011950755409911893,725.746737596205,564.407906012956,0.1276404820271843,8.68999797141945,0.8468977940747758,8001.0,6.429368555956581,0.1306396222720422,1469.303870467865,4602.520601286918,0.0183037499999994,0.16366709605790675,0.4786506182861156,2.7000198,0.9819185685326266,18.437828518475282
3,561.234474811869,0.004861110937781632,0.012618967141740288,722.843197323931,561.234474811869,0.12940470872421825,8.640244936222325,0.8468898873989639,8001.0,6.4380351890574765,0.13253769319776182,2195.05060806407,6876.365214301923,0.017601750000000305,0.2444775099866092,0.4774853457250587,2.6999636,0.9779901456267638,18.484285109628136
4,557.071180591865,0.004849530872888863,0.013618574848097998,718.366895843014,557.071180591865,0.12842941226045268,8.64385618977475,0.8468858940895421,8001.0,6.433684661139039,0.13305507095002905,2917.893805388001,9141.80031843604,0.018745000000002232,0.32495668693445623,0.4762379926140567,2.7001641,0.9719338131422104,18.6273079863159
5,553.5339326797721,0.00481480802409351,0.014185959653499638,714.978700695509,553.5339326797721,0.12709724117327087,8.62570884306451,0.846873805343167,8001.0,6.4092475196515695,0.13305422761296473,3636.260701231015,11394.514661295381,0.018043999999999283,0.4049142989097163,0.476186340331052,2.6998432,0.9673496633874812,18.69481100716838
6,550.424144206099,0.004791660001501441,0.014320527308418044,711.620405394135,550.424144206099,0.12964098744035155,8.607330313749646,0.8468656493963941,8001.0,6.3798300183544265,0.13198949479157376,4351.239401926524,13637.314994834223,0.01754199999999928,0.4844966238597408,0.4764521360875665,2.6999636,0.9628059674337698,18.809930925555594
7,546.539192825697,0.004780092043802142,0.015305114231920212,709.5321170324,546.539192825697,0.13113567666090728,8.62570884306451,0.8468615440561081,8001.0,6.393878808940466,0.13408838039885507,5062.8598073206595,15870.18330895759,0.017642249999998416,0.5637078010477126,0.4742748135277792,2.7002044,0.9599805615275306,18.805129356652092
8,543.025480383199,0.004756937967613339,0.01565653287445489,705.8480111354511,543.025480383199,0.12655802443569775,8.622051819456425,0.8468532674928005,8001.0,6.372300667930193,0.13368945159957848,5772.391924353058,18097.3336467254,0.019045250000000458,0.6425995291210711,0.4748098168569918,2.7002444,0.9549960513654367,18.896436204807628
9,539.724552733534,0.004756937036290765,0.0164566255275045,702.5449768529221,539.724552733534,0.1268117543659632,8.622051819456425,0.8468532844287135,8001.0,6.394841385454142,0.13597803605176162,6478.239935488509,20313.897029751453,0.01824300000000001,0.7210562702966854,0.4717890780946101,2.700084,0.9505271222934888,18.938528034466586
